county,candidate,party,write-in,votes
Harford,Michael David Boyles,Unaffiliated, (Write In),0
Harford,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Harford,Chehade/ McAllister,Unaffiliated, (Write In),0
Howard,Durham/ Lopez,Other, (Write In),6
Howard,Miller/ Bertram,Other, (Write In),1
Howard,Leon Leo Ray,Other, (Write In),0
Howard,Michael David Boyles,Unaffiliated, (Write In),0
Howard,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Howard,Chehade/ McAllister,Unaffiliated, (Write In),1
Kent,Durham/ Lopez,Other, (Write In),0
Kent,Miller/ Bertram,Other, (Write In),0
Kent,Leon Leo Ray,Other, (Write In),0
Kent,Michael David Boyles,Unaffiliated, (Write In),0
Kent,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Kent,Chehade/ McAllister,Unaffiliated, (Write In),0
Montgomery,Durham/ Lopez,Other, (Write In),3
Montgomery,Miller/ Bertram,Other, (Write In),8
